Vente_ID,Date_ID,Date,Client_ID,Produit_ID,Commercial_ID,Ville_ID,Quantite,Prix_Unitaire,Montant_Vente,Cout_Total,Benefice,Montant_Paye,Creance,Mode_Paiement
V00790,20250105,2025-01-05,CL009,PR005,COM003,VIL003,8,1690.0,12202.0,8808.0,3394.0,12202.0,0.0,Mobile Money
V00889,20250106,2025-01-06,CL020,PR003,COM004,VIL008,20,17200.0,179740.0,130312.0,49428.0,179740.0,0.0,Mobile Money
V01121,20250106,2025-01-06,CL017,PR011,COM001,VIL007,25,1240.0,22088.0,14606.0,7482.0,22088.0,0.0,Mobile Money
V00839,20250106,2025-01-06,CL001,PR015,COM004,VIL001,12,1000.0,15390.0,10004.0,5386.0,7695.0,7695.0,Crédit
V00410,20250106,2025-01-06,CL019,PR008,COM005,VIL008,2,890.0,930.0,637.0,293.0,930.0,0.0,Crédit
V01038,20250106,2025-01-06,CL010,PR010,COM007,VIL004,15,3170.0,40655.0,30780.0,9875.0,26426.0,14229.0,Crédit
V00478,20250107,2025-01-07,CL007,PR008,COM001,VIL002,20,910.0,19019.0,13167.0,5852.0,19019.0,0.0,Mobile Money
V00415,20250107,2025-01-07,CL007,PR009,COM007,VIL002,3,2220.0,6960.0,4671.0,2289.0,6960.0,0.0,Espèces
V01366,20250107,2025-01-07,CL001,PR013,COM005,VIL001,2,2530.0,6489.0,4309.0,2180.0,4218.0,2271.0,Crédit
V00233,20250108,2025-01-08,CL014,PR011,COM007,VIL005,5,1210.0,4598.0,3154.0,1444.0,4598.0,0.0,Mobile Money
V00300,20250108,2025-01-08,CL011,PR013,COM005,VIL004,1,2630.0,2249.0,1513.0,736.0,2249.0,0.0,Crédit
V00540,20250108,2025-01-08,CL009,PR013,COM002,VIL003,3,2470.0,6688.0,4765.0,1923.0,6688.0,0.0,Virement
V00170,20250109,2025-01-09,CL015,PR010,COM004,VIL006,6,3160.0,14049.0,10670.0,3379.0,14049.0,0.0,Virement
V00369,20250109,2025-01-09,CL001,PR007,COM008,VIL001,2,1760.0,4514.0,3001.0,1513.0,4514.0,0.0,Mobile Money
V00272,20250109,2025-01-09,CL008,PR007,COM007,VIL003,6,1830.0,9909.0,6769.0,3140.0,9909.0,0.0,Mobile Money
V00821,20250109,2025-01-09,CL002,PR002,COM003,VIL001,10,15940.0,204430.0,148385.0,56045.0,204430.0,0.0,Crédit
V01167,20250109,2025-01-09,CL005,PR007,COM002,VIL002,1,1790.0,1871.0,1275.0,596.0,1871.0,0.0,Espèces
V00454,20250110,2025-01-10,CL010,PR006,COM002,VIL004,1,730.0,624.0,393.0,231.0,312.0,312.0,Crédit
V01180,20250110,2025-01-10,CL008,PR007,COM001,VIL003,20,1760.0,31768.0,21299.0,10469.0,31768.0,0.0,Mobile Money
V01399,20250110,2025-01-10,CL016,PR002,COM006,VIL006,2,15750.0,23342.0,18021.0,5321.0,23342.0,0.0,Crédit
V00429,20250110,2025-01-10,CL004,PR012,COM002,VIL001,20,2850.0,73102.0,49761.0,23341.0,47516.0,25586.0,Crédit
V01300,20250111,2025-01-11,CL008,PR002,COM004,VIL003,8,15710.0,113426.0,86640.0,26786.0,113426.0,0.0,Virement
V00830,20250111,2025-01-11,CL003,PR003,COM004,VIL001,8,17210.0,176575.0,136048.0,40527.0,176575.0,0.0,Espèces
V01493,20250111,2025-01-11,CL004,PR011,COM007,VIL001,40,1210.0,62073.0,42066.0,20007.0,62073.0,0.0,Espèces
V00385,20250112,2025-01-12,CL013,PR012,COM001,VIL005,3,2810.0,6407.0,4560.0,1847.0,6407.0,0.0,Mobile Money
V00787,20250112,2025-01-12,CL019,PR003,COM003,VIL008,30,17600.0,275880.0,205970.0,69910.0,137940.0,137940.0,Crédit
V00138,20250112,2025-01-12,CL013,PR008,COM004,VIL005,1,920.0,699.0,456.0,243.0,699.0,0.0,Virement
V00147,20250113,2025-01-13,CL007,PR010,COM006,VIL002,10,3220.0,33649.0,24140.0,9509.0,33649.0,0.0,Mobile Money
V00663,20250113,2025-01-13,CL009,PR015,COM003,VIL003,20,1020.0,18411.0,11913.0,6498.0,17490.0,921.0,Mobile Money
V00117,20250114,2025-01-14,CL016,PR010,COM003,VIL006,2,3210.0,4757.0,3512.0,1245.0,2378.0,2379.0,Crédit
V01446,20250114,2025-01-14,CL003,PR007,COM002,VIL001,5,1810.0,11607.0,7439.0,4168.0,11607.0,0.0,Mobile Money
V00970,20250114,2025-01-14,CL005,PR010,COM003,VIL002,2,3250.0,6793.0,4849.0,1944.0,6793.0,0.0,Espèces
V00844,20250114,2025-01-14,CL015,PR005,COM004,VIL006,6,1640.0,7291.0,5513.0,1778.0,7291.0,0.0,Espèces
V00328,20250114,2025-01-14,CL020,PR004,COM005,VIL008,15,7440.0,58311.0,43576.0,14735.0,29156.0,29155.0,Crédit
V01266,20250114,2025-01-14,CL011,PR015,COM005,VIL004,5,990.0,4232.0,2693.0,1539.0,3386.0,846.0,Crédit
V00870,20250115,2025-01-15,CL004,PR011,COM003,VIL001,5,1180.0,7567.0,5194.0,2373.0,7567.0,0.0,Mobile Money
V01240,20250115,2025-01-15,CL007,PR004,COM001,VIL002,8,7450.0,62282.0,46147.0,16135.0,40483.0,21799.0,Crédit
V01452,20250115,2025-01-15,CL011,PR004,COM007,VIL004,30,7780.0,199557.0,145948.0,53609.0,199557.0,0.0,Espèces
V00250,20250116,2025-01-16,CL015,PR006,COM003,VIL006,5,730.0,2705.0,1815.0,890.0,2705.0,0.0,Mobile Money
V00817,20250116,2025-01-16,CL002,PR007,COM005,VIL001,4,1840.0,9439.0,6156.0,3283.0,6135.0,3304.0,Crédit
V00562,20250116,2025-01-16,CL012,PR003,COM005,VIL004,5,16760.0,71649.0,56002.0,15647.0,71649.0,0.0,Mobile Money
V00902,20250116,2025-01-16,CL012,PR015,COM006,VIL004,12,990.0,10157.0,6669.0,3488.0,6602.0,3555.0,Crédit
V01019,20250116,2025-01-16,CL003,PR003,COM005,VIL001,2,17570.0,45067.0,33294.0,11773.0,29294.0,15773.0,Crédit
V00056,20250116,2025-01-16,CL004,PR008,COM002,VIL001,5,910.0,5835.0,3912.0,1923.0,5835.0,0.0,Espèces
V01099,20250116,2025-01-16,CL020,PR012,COM007,VIL008,8,2850.0,11913.0,7984.0,3929.0,11913.0,0.0,Espèces
V00397,20250117,2025-01-17,CL012,PR007,COM007,VIL004,1,1840.0,1573.0,1009.0,564.0,1573.0,0.0,Virement
V00811,20250117,2025-01-17,CL006,PR004,COM008,VIL002,6,7430.0,46586.0,34297.0,12289.0,37269.0,9317.0,Crédit
V01110,20250117,2025-01-17,CL017,PR005,COM001,VIL007,5,1680.0,5985.0,4453.0,1532.0,5985.0,0.0,Virement
V00352,20250117,2025-01-17,CL006,PR015,COM006,VIL002,2,1020.0,2132.0,1379.0,753.0,1066.0,1066.0,Crédit
V00574,20250118,2025-01-18,CL007,PR005,COM007,VIL002,5,1690.0,8830.0,6322.0,2508.0,8830.0,0.0,Espèces
V01463,20250118,2025-01-18,CL020,PR009,COM007,VIL008,4,2130.0,4452.0,3135.0,1317.0,1558.0,2894.0,Crédit
V01286,20250118,2025-01-18,CL003,PR012,COM005,VIL001,2,2720.0,6977.0,4976.0,2001.0,6977.0,0.0,Espèces
V01270,20250118,2025-01-18,CL020,PR008,COM005,VIL008,10,880.0,4598.0,3240.0,1358.0,1609.0,2989.0,Crédit
V00848,20250119,2025-01-19,CL016,PR006,COM004,VIL006,10,760.0,5632.0,3557.0,2075.0,5632.0,0.0,Virement
V01453,20250119,2025-01-19,CL019,PR008,COM002,VIL008,8,900.0,3762.0,2508.0,1254.0,3762.0,0.0,Espèces
V00584,20250119,2025-01-19,CL014,PR005,COM004,VIL005,10,1730.0,13148.0,9272.0,3876.0,13148.0,0.0,Espèces
V00699,20250119,2025-01-19,CL012,PR005,COM005,VIL004,1,1680.0,1436.0,1069.0,367.0,1436.0,0.0,Espèces
V01464,20250119,2025-01-19,CL002,PR010,COM003,VIL001,30,3210.0,123505.0,92340.0,31165.0,123505.0,0.0,Espèces
V00546,20250120,2025-01-20,CL020,PR010,COM003,VIL008,5,3250.0,8491.0,5878.0,2613.0,5519.0,2972.0,Crédit
V00887,20250120,2025-01-20,CL020,PR002,COM002,VIL008,40,15380.0,321442.0,248292.0,73150.0,257154.0,64288.0,Crédit
V00898,20250120,2025-01-20,CL006,PR001,COM004,VIL002,4,18210.0,76118.0,59899.0,16219.0,76118.0,0.0,Espèces
V01267,20250121,2025-01-21,CL008,PR006,COM003,VIL003,4,740.0,2671.0,1733.0,938.0,1336.0,1335.0,Crédit
V00858,20250121,2025-01-21,CL005,PR001,COM006,VIL002,5,17840.0,93214.0,73934.0,19280.0,46607.0,46607.0,Crédit
V01026,20250121,2025-01-21,CL007,PR003,COM001,VIL002,25,17330.0,452746.0,339886.0,112860.0,294285.0,158461.0,Crédit
V01021,20250121,2025-01-21,CL009,PR002,COM004,VIL003,3,15040.0,40721.0,31867.0,8854.0,40721.0,0.0,Mobile Money
V00542,20250121,2025-01-21,CL018,PR009,COM002,VIL007,6,2230.0,9533.0,6199.0,3334.0,9533.0,0.0,Crédit
V01136,20250122,2025-01-22,CL001,PR015,COM005,VIL001,1,990.0,1270.0,795.0,475.0,635.0,635.0,Crédit
V00150,20250122,2025-01-22,CL017,PR002,COM003,VIL007,2,15500.0,22088.0,17128.0,4960.0,20984.0,1104.0,Espèces
V01411,20250123,2025-01-23,CL003,PR002,COM002,VIL001,4,15690.0,80490.0,59354.0,21136.0,80490.0,0.0,Virement
V00619,20250123,2025-01-23,CL011,PR007,COM007,VIL004,4,1820.0,6224.0,4070.0,2154.0,6224.0,0.0,Espèces
V01351,20250123,2025-01-23,CL004,PR010,COM002,VIL001,2,3250.0,8336.0,5848.0,2488.0,8336.0,0.0,Mobile Money
V01470,20250123,2025-01-23,CL013,PR012,COM001,VIL005,3,2790.0,6361.0,4332.0,2029.0,4135.0,2226.0,Crédit
V01456,20250124,2025-01-24,CL020,PR002,COM006,VIL008,4,15340.0,32061.0,24578.0,7483.0,32061.0,0.0,Mobile Money
V00279,20250124,2025-01-24,CL007,PR015,COM001,VIL002,4,1000.0,4180.0,2675.0,1505.0,4180.0,0.0,Espèces
V00036,20250124,2025-01-24,CL001,PR015,COM005,VIL001,10,960.0,12312.0,8336.0,3976.0,12312.0,0.0,Virement
V00387,20250125,2025-01-25,CL014,PR012,COM006,VIL005,6,2700.0,12312.0,8983.0,3329.0,9850.0,2462.0,Crédit
V01035,20250125,2025-01-25,CL017,PR007,COM001,VIL007,2,1740.0,2480.0,1724.0,756.0,1612.0,868.0,Crédit
V00518,20250125,2025-01-25,CL015,PR014,COM005,VIL006,2,1460.0,2164.0,1452.0,712.0,2164.0,0.0,Crédit
V01362,20250125,2025-01-25,CL019,PR012,COM005,VIL008,6,2830.0,8872.0,6301.0,2571.0,8872.0,0.0,Virement
V00045,20250125,2025-01-25,CL005,PR003,COM004,VIL002,10,17100.0,178695.0,135014.0,43681.0,178695.0,0.0,Mobile Money
V00899,20250126,2025-01-26,CL006,PR005,COM008,VIL002,2,1680.0,3511.0,2612.0,899.0,3511.0,0.0,Espèces
V01022,20250127,2025-01-27,CL001,PR001,COM006,VIL001,2,18580.0,47658.0,36731.0,10927.0,47658.0,0.0,Mobile Money
V00659,20250127,2025-01-27,CL017,PR006,COM002,VIL007,15,740.0,7909.0,5237.0,2672.0,7909.0,0.0,Espèces
V01055,20250128,2025-01-28,CL020,PR001,COM005,VIL008,12,18330.0,114929.0,85272.0,29657.0,114929.0,0.0,Virement
V01253,20250128,2025-01-28,CL012,PR015,COM001,VIL004,2,980.0,1676.0,1112.0,564.0,838.0,838.0,Crédit
V01215,20250128,2025-01-28,CL011,PR011,COM008,VIL004,6,1190.0,6105.0,4309.0,1796.0,6105.0,0.0,Espèces
V00069,20250128,2025-01-28,CL019,PR003,COM003,VIL008,10,17080.0,89243.0,69649.0,19594.0,89243.0,0.0,Mobile Money
V00217,20250129,2025-01-29,CL013,PR001,COM008,VIL005,4,17850.0,54264.0,42712.0,11552.0,18992.0,35272.0,Crédit
V00127,20250129,2025-01-29,CL012,PR013,COM001,VIL004,6,2550.0,13082.0,8926.0,4156.0,13082.0,0.0,Crédit
V01027,20250129,2025-01-29,CL010,PR004,COM005,VIL004,8,7180.0,49111.0,38030.0,11081.0,46655.0,2456.0,Mobile Money
V01096,20250130,2025-01-30,CL004,PR009,COM003,VIL001,4,2220.0,11389.0,7746.0,3643.0,3986.0,7403.0,Crédit
V00439,20250130,2025-01-30,CL020,PR015,COM003,VIL008,1,1010.0,528.0,340.0,188.0,422.0,106.0,Crédit
V01328,20250131,2025-01-31,CL019,PR007,COM006,VIL008,10,1770.0,9248.0,6270.0,2978.0,7398.0,1850.0,Crédit
V01361,20250131,2025-01-31,CL004,PR001,COM005,VIL001,3,17350.0,66754.0,53942.0,12812.0,66754.0,0.0,Crédit
V01256,20250131,2025-01-31,CL018,PR005,COM004,VIL007,1,1700.0,1211.0,876.0,335.0,787.0,424.0,Crédit
V00280,20250131,2025-01-31,CL014,PR011,COM001,VIL005,2,1180.0,1794.0,1262.0,532.0,1794.0,0.0,Virement
V00678,20250131,2025-01-31,CL010,PR012,COM004,VIL004,6,2820.0,14467.0,10568.0,3899.0,14467.0,0.0,Virement
V00246,20250131,2025-01-31,CL020,PR013,COM003,VIL008,6,2500.0,7838.0,5298.0,2540.0,7838.0,0.0,Crédit
V01122,20250131,2025-01-31,CL008,PR015,COM001,VIL003,12,1040.0,11263.0,7040.0,4223.0,9010.0,2253.0,Crédit
V00431,20250131,2025-01-31,CL002,PR004,COM001,VIL001,6,7460.0,57405.0,42399.0,15006.0,37313.0,20092.0,Crédit
V00007,20250201,2025-02-01,CL019,PR009,COM003,VIL008,6,2140.0,6921.0,4916.0,2005.0,4499.0,2422.0,Crédit
V00196,20250201,2025-02-01,CL014,PR003,COM007,VIL005,4,17580.0,55131.0,41427.0,13704.0,44105.0,11026.0,Crédit
V00753,20250201,2025-02-01,CL005,PR015,COM006,VIL002,5,1010.0,5444.0,3557.0,1887.0,5444.0,0.0,Espèces
V00881,20250201,2025-02-01,CL004,PR013,COM002,VIL001,10,2580.0,34133.0,23682.0,10451.0,32426.0,1707.0,Espèces
V00001,20250202,2025-02-02,CL011,PR012,COM006,VIL004,12,2860.0,30270.0,20745.0,9525.0,30270.0,0.0,Virement
V00695,20250202,2025-02-02,CL014,PR006,COM003,VIL005,10,760.0,5958.0,3842.0,2116.0,3873.0,2085.0,Crédit
V00172,20250202,2025-02-02,CL012,PR015,COM006,VIL004,8,1040.0,7338.0,4375.0,2963.0,4770.0,2568.0,Crédit
V00728,20250202,2025-02-02,CL019,PR008,COM007,VIL008,3,870.0,1407.0,1035.0,372.0,915.0,492.0,Crédit
V00359,20250203,2025-02-03,CL011,PR003,COM003,VIL004,8,17220.0,121504.0,93845.0,27659.0,121504.0,0.0,Virement
V00826,20250203,2025-02-03,CL017,PR014,COM004,VIL007,6,1470.0,6483.0,4410.0,2073.0,6483.0,0.0,Espèces
V00133,20250203,2025-02-03,CL002,PR012,COM003,VIL001,2,2770.0,7329.0,5027.0,2302.0,7329.0,0.0,Virement
V00910,20250203,2025-02-03,CL001,PR014,COM006,VIL001,12,1450.0,23020.0,15241.0,7779.0,23020.0,0.0,Virement
V00033,20250203,2025-02-03,CL019,PR009,COM006,VIL008,3,2230.0,3606.0,2426.0,1180.0,3606.0,0.0,Virement
V00010,20250204,2025-02-04,CL014,PR013,COM008,VIL005,10,2490.0,19522.0,13720.0,5802.0,19522.0,0.0,Espèces
V00791,20250204,2025-02-04,CL008,PR002,COM007,VIL003,3,14930.0,41699.0,33153.0,8546.0,27104.0,14595.0,Crédit
V00376,20250204,2025-02-04,CL003,PR008,COM006,VIL001,4,880.0,4657.0,3334.0,1323.0,2328.0,2329.0,Crédit
V00951,20250204,2025-02-04,CL017,PR006,COM003,VIL007,4,760.0,2234.0,1352.0,882.0,1452.0,782.0,Crédit
V00581,20250204,2025-02-04,CL017,PR014,COM003,VIL007,10,1530.0,11246.0,7350.0,3896.0,5623.0,5623.0,Crédit
V00977,20250204,2025-02-04,CL011,PR010,COM003,VIL004,1,3360.0,2964.0,2073.0,891.0,1927.0,1037.0,Crédit
V00674,20250204,2025-02-04,CL016,PR001,COM003,VIL006,4,19310.0,59042.0,42623.0,16419.0,47234.0,11808.0,Crédit
V00700,20250204,2025-02-04,CL004,PR012,COM008,VIL001,5,2830.0,18720.0,12502.0,6218.0,18720.0,0.0,Mobile Money
V00243,20250204,2025-02-04,CL010,PR014,COM004,VIL004,20,1460.0,25754.0,17464.0,8290.0,25754.0,0.0,Espèces
V00087,20250205,2025-02-05,CL017,PR003,COM002,VIL007,3,16570.0,36537.0,27695.0,8842.0,36537.0,0.0,Espèces
V00218,20250205,2025-02-05,CL008,PR007,COM008,VIL003,1,1810.0,1685.0,1136.0,549.0,1348.0,337.0,Crédit
V00588,20250206,2025-02-06,CL014,PR011,COM002,VIL005,5,1180.0,4626.0,3136.0,1490.0,4626.0,0.0,Espèces
V00891,20250206,2025-02-06,CL010,PR009,COM002,VIL004,2,2180.0,3846.0,2646.0,1200.0,2500.0,1346.0,Crédit
V01436,20250207,2025-02-07,CL005,PR014,COM003,VIL002,6,1480.0,9573.0,6339.0,3234.0,7658.0,1915.0,Crédit
V01359,20250207,2025-02-07,CL015,PR011,COM003,VIL006,5,1200.0,4586.0,3210.0,1376.0,4586.0,0.0,Mobile Money
V01289,20250207,2025-02-07,CL001,PR012,COM005,VIL001,40,2870.0,151880.0,102665.0,49215.0,75940.0,75940.0,Crédit
V00580,20250207,2025-02-07,CL003,PR002,COM005,VIL001,1,15560.0,20586.0,15400.0,5186.0,20586.0,0.0,Espèces
V00258,20250207,2025-02-07,CL013,PR003,COM002,VIL005,3,17430.0,40995.0,30741.0,10254.0,40995.0,0.0,Mobile Money
V01450,20250207,2025-02-07,CL011,PR014,COM005,VIL004,1,1460.0,1288.0,882.0,406.0,1288.0,0.0,Espèces
V00171,20250208,2025-02-08,CL016,PR010,COM001,VIL006,40,3070.0,93868.0,72771.0,21097.0,93868.0,0.0,Espèces
V00818,20250208,2025-02-08,CL009,PR013,COM001,VIL003,3,2470.0,6899.0,4860.0,2039.0,2415.0,4484.0,Crédit
V01166,20250208,2025-02-08,CL011,PR011,COM004,VIL004,3,1200.0,3175.0,2170.0,1005.0,3175.0,0.0,Espèces
V00583,20250208,2025-02-08,CL007,PR004,COM001,VIL002,4,7830.0,33763.0,23371.0,10392.0,33763.0,0.0,Espèces
V00460,20250208,2025-02-08,CL004,PR006,COM008,VIL001,12,750.0,11907.0,7620.0,4287.0,7740.0,4167.0,Crédit
V00516,20250208,2025-02-08,CL007,PR015,COM008,VIL002,10,1020.0,10996.0,6791.0,4205.0,10996.0,0.0,Virement
V01227,20250209,2025-02-09,CL003,PR007,COM005,VIL001,6,1780.0,14130.0,9684.0,4446.0,14130.0,0.0,Espèces
V00322,20250209,2025-02-09,CL016,PR003,COM006,VIL006,5,16980.0,64898.0,50565.0,14333.0,42184.0,22714.0,Crédit
V00310,20250209,2025-02-09,CL020,PR015,COM007,VIL008,1,980.0,528.0,367.0,161.0,528.0,0.0,Crédit
V01272,20250209,2025-02-09,CL001,PR008,COM002,VIL001,5,880.0,5821.0,4035.0,1786.0,3784.0,2037.0,Crédit
V00480,20250209,2025-02-09,CL016,PR012,COM005,VIL006,6,2950.0,13530.0,8943.0,4587.0,8794.0,4736.0,Crédit
V01489,20250210,2025-02-10,CL019,PR010,COM007,VIL008,3,3130.0,5061.0,3929.0,1132.0,5061.0,0.0,Crédit
V01484,20250210,2025-02-10,CL017,PR001,COM007,VIL007,3,18380.0,40528.0,31598.0,8930.0,32422.0,8106.0,Crédit
V00808,20250210,2025-02-10,CL004,PR003,COM006,VIL001,8,17100.0,180986.0,137804.0,43182.0,180986.0,0.0,Mobile Money
V01466,20250210,2025-02-10,CL012,PR002,COM001,VIL004,2,15860.0,27977.0,20903.0,7074.0,9792.0,18185.0,Crédit
V01216,20250211,2025-02-11,CL010,PR015,COM004,VIL004,2,1010.0,1782.0,1147.0,635.0,891.0,891.0,Crédit
V00873,20250211,2025-02-11,CL002,PR013,COM003,VIL001,2,2490.0,6589.0,4657.0,1932.0,5271.0,1318.0,Crédit
V00120,20250211,2025-02-11,CL020,PR014,COM008,VIL008,3,1500.0,2426.0,1568.0,858.0,2426.0,0.0,Virement
V01321,20250211,2025-02-11,CL011,PR010,COM005,VIL004,12,3150.0,33340.0,24872.0,8468.0,33340.0,0.0,Virement
V00501,20250211,2025-02-11,CL018,PR001,COM002,VIL007,4,18200.0,53508.0,39837.0,13671.0,50833.0,2675.0,Mobile Money
V00726,20250212,2025-02-12,CL013,PR015,COM004,VIL005,12,990.0,9314.0,6115.0,3199.0,9314.0,0.0,Mobile Money
V01020,20250212,2025-02-12,CL020,PR011,COM005,VIL008,10,1160.0,6252.0,4474.0,1778.0,2188.0,4064.0,Crédit
V00538,20250212,2025-02-12,CL001,PR002,COM005,VIL001,6,15000.0,119070.0,93272.0,25798.0,41674.0,77396.0,Crédit
V00365,20250212,2025-02-12,CL017,PR003,COM008,VIL007,3,17580.0,38764.0,28158.0,10606.0,38764.0,0.0,Virement
V00497,20250213,2025-02-13,CL012,PR002,COM006,VIL004,10,16110.0,142090.0,106105.0,35985.0,142090.0,0.0,Virement
V00313,20250213,2025-02-13,CL014,PR014,COM005,VIL005,6,1510.0,7103.0,4657.0,2446.0,7103.0,0.0,Espèces
V00198,20250213,2025-02-13,CL003,PR013,COM001,VIL001,2,2490.0,6589.0,4551.0,2038.0,6589.0,0.0,Mobile Money
V01157,20250213,2025-02-13,CL002,PR011,COM007,VIL001,20,1210.0,32017.0,21697.0,10320.0,32017.0,0.0,Mobile Money
V00863,20250213,2025-02-13,CL020,PR004,COM005,VIL008,8,7740.0,33375.0,23414.0,9961.0,21694.0,11681.0,Crédit
V01050,20250213,2025-02-13,CL003,PR007,COM007,VIL001,10,1810.0,23946.0,15611.0,8335.0,23946.0,0.0,Mobile Money
V00946,20250213,2025-02-13,CL018,PR011,COM003,VIL007,15,1190.0,13120.0,8930.0,4190.0,8528.0,4592.0,Crédit
V00724,20250213,2025-02-13,CL009,PR015,COM007,VIL003,5,1030.0,4795.0,3119.0,1676.0,4795.0,0.0,Crédit
V01343,20250213,2025-02-13,CL016,PR008,COM005,VIL006,6,910.0,4174.0,2798.0,1376.0,4174.0,0.0,Mobile Money
V00778,20250213,2025-02-13,CL002,PR013,COM007,VIL001,1,2600.0,3440.0,2342.0,1098.0,2236.0,1204.0,Crédit
V00783,20250214,2025-02-14,CL007,PR002,COM007,VIL002,25,15570.0,419612.0,314506.0,105106.0,419612.0,0.0,Espèces
V00784,20250214,2025-02-14,CL016,PR012,COM007,VIL006,3,2710.0,6215.0,4495.0,1720.0,2175.0,4040.0,Crédit
V00386,20250214,2025-02-14,CL004,PR004,COM002,VIL001,8,7240.0,76628.0,59059.0,17569.0,76628.0,0.0,Crédit
V00418,20250214,2025-02-14,CL010,PR014,COM003,VIL004,12,1560.0,16511.0,10584.0,5927.0,10732.0,5779.0,Crédit
V01238,20250215,2025-02-15,CL004,PR002,COM008,VIL001,15,16170.0,320894.0,231591.0,89303.0,320894.0,0.0,Mobile Money
V00874,20250215,2025-02-15,CL008,PR008,COM002,VIL003,2,900.0,1676.0,1117.0,559.0,1676.0,0.0,Crédit
V00436,20250215,2025-02-15,CL004,PR010,COM005,VIL001,6,3170.0,25163.0,18178.0,6985.0,25163.0,0.0,Espèces
V01005,20250216,2025-02-16,CL002,PR013,COM005,VIL001,6,2590.0,20559.0,13733.0,6826.0,13363.0,7196.0,Crédit
V00221,20250216,2025-02-16,CL002,PR011,COM005,VIL001,3,1170.0,4644.0,3175.0,1469.0,3019.0,1625.0,Crédit
V00018,20250216,2025-02-16,CL001,PR004,COM001,VIL001,2,7330.0,19395.0,14950.0,4445.0,15516.0,3879.0,Crédit
V00157,20250216,2025-02-16,CL017,PR012,COM002,VIL007,1,2850.0,2095.0,1419.0,676.0,2095.0,0.0,Espèces
V00759,20250216,2025-02-16,CL001,PR002,COM006,VIL001,20,15350.0,406161.0,327046.0,79115.0,385853.0,20308.0,Mobile Money
V00074,20250217,2025-02-17,CL017,PR012,COM008,VIL007,10,2800.0,20580.0,13818.0,6762.0,16464.0,4116.0,Crédit
V00945,20250217,2025-02-17,CL012,PR002,COM003,VIL004,2,15440.0,27236.0,20903.0,6333.0,27236.0,0.0,Espèces
V00434,20250217,2025-02-17,CL020,PR006,COM007,VIL008,3,760.0,1229.0,760.0,469.0,1229.0,0.0,Espèces
V00705,20250217,2025-02-17,CL010,PR015,COM005,VIL004,1,1040.0,917.0,564.0,353.0,917.0,0.0,Espèces
