Date_ID,Date,Annee,Mois_Numero,Mois,Trimestre,Jour,Jour_Semaine
20250408,2025-04-08,2025,4,April,T2,8,Tuesday
20250409,2025-04-09,2025,4,April,T2,9,Wednesday
20250410,2025-04-10,2025,4,April,T2,10,Thursday
20250411,2025-04-11,2025,4,April,T2,11,Friday
20250412,2025-04-12,2025,4,April,T2,12,Saturday
20250413,2025-04-13,2025,4,April,T2,13,Sunday
20250414,2025-04-14,2025,4,April,T2,14,Monday
20250415,2025-04-15,2025,4,April,T2,15,Tuesday
20250416,2025-04-16,2025,4,April,T2,16,Wednesday
20250417,2025-04-17,2025,4,April,T2,17,Thursday
20250418,2025-04-18,2025,4,April,T2,18,Friday
20250419,2025-04-19,2025,4,April,T2,19,Saturday
20250420,2025-04-20,2025,4,April,T2,20,Sunday
20250421,2025-04-21,2025,4,April,T2,21,Monday
20250422,2025-04-22,2025,4,April,T2,22,Tuesday
20250423,2025-04-23,2025,4,April,T2,23,Wednesday
20250424,2025-04-24,2025,4,April,T2,24,Thursday
20250425,2025-04-25,2025,4,April,T2,25,Friday
20250426,2025-04-26,2025,4,April,T2,26,Saturday
20250427,2025-04-27,2025,4,April,T2,27,Sunday
20250428,2025-04-28,2025,4,April,T2,28,Monday
20250429,2025-04-29,2025,4,April,T2,29,Tuesday
20250430,2025-04-30,2025,4,April,T2,30,Wednesday
20250501,2025-05-01,2025,5,May,T2,1,Thursday
20250502,2025-05-02,2025,5,May,T2,2,Friday
20250503,2025-05-03,2025,5,May,T2,3,Saturday
20250504,2025-05-04,2025,5,May,T2,4,Sunday
20250505,2025-05-05,2025,5,May,T2,5,Monday
20250506,2025-05-06,2025,5,May,T2,6,Tuesday
20250507,2025-05-07,2025,5,May,T2,7,Wednesday
20250508,2025-05-08,2025,5,May,T2,8,Thursday
20250509,2025-05-09,2025,5,May,T2,9,Friday
20250510,2025-05-10,2025,5,May,T2,10,Saturday
20250511,2025-05-11,2025,5,May,T2,11,Sunday
20250512,2025-05-12,2025,5,May,T2,12,Monday
20250513,2025-05-13,2025,5,May,T2,13,Tuesday
20250514,2025-05-14,2025,5,May,T2,14,Wednesday
20250515,2025-05-15,2025,5,May,T2,15,Thursday
20250516,2025-05-16,2025,5,May,T2,16,Friday
20250517,2025-05-17,2025,5,May,T2,17,Saturday
20250518,2025-05-18,2025,5,May,T2,18,Sunday
20250519,2025-05-19,2025,5,May,T2,19,Monday
20250520,2025-05-20,2025,5,May,T2,20,Tuesday
20250521,2025-05-21,2025,5,May,T2,21,Wednesday
20250522,2025-05-22,2025,5,May,T2,22,Thursday
20250523,2025-05-23,2025,5,May,T2,23,Friday
20250524,2025-05-24,2025,5,May,T2,24,Saturday
20250525,2025-05-25,2025,5,May,T2,25,Sunday
20250526,2025-05-26,2025,5,May,T2,26,Monday
20250527,2025-05-27,2025,5,May,T2,27,Tuesday
20250528,2025-05-28,2025,5,May,T2,28,Wednesday
20250529,2025-05-29,2025,5,May,T2,29,Thursday
20250530,2025-05-30,2025,5,May,T2,30,Friday
20250531,2025-05-31,2025,5,May,T2,31,Saturday
20250601,2025-06-01,2025,6,June,T2,1,Sunday
20250602,2025-06-02,2025,6,June,T2,2,Monday
20250603,2025-06-03,2025,6,June,T2,3,Tuesday
20250604,2025-06-04,2025,6,June,T2,4,Wednesday
20250605,2025-06-05,2025,6,June,T2,5,Thursday
20250606,2025-06-06,2025,6,June,T2,6,Friday
20250607,2025-06-07,2025,6,June,T2,7,Saturday
20250608,2025-06-08,2025,6,June,T2,8,Sunday
20250609,2025-06-09,2025,6,June,T2,9,Monday
20250610,2025-06-10,2025,6,June,T2,10,Tuesday
20250611,2025-06-11,2025,6,June,T2,11,Wednesday
20250612,2025-06-12,2025,6,June,T2,12,Thursday
20250613,2025-06-13,2025,6,June,T2,13,Friday
20250614,2025-06-14,2025,6,June,T2,14,Saturday
20250615,2025-06-15,2025,6,June,T2,15,Sunday
20250616,2025-06-16,2025,6,June,T2,16,Monday
20250617,2025-06-17,2025,6,June,T2,17,Tuesday
20250618,2025-06-18,2025,6,June,T2,18,Wednesday
20250619,2025-06-19,2025,6,June,T2,19,Thursday
20250620,2025-06-20,2025,6,June,T2,20,Friday
20250621,2025-06-21,2025,6,June,T2,21,Saturday
20250622,2025-06-22,2025,6,June,T2,22,Sunday
20250623,2025-06-23,2025,6,June,T2,23,Monday
20250624,2025-06-24,2025,6,June,T2,24,Tuesday
20250625,2025-06-25,2025,6,June,T2,25,Wednesday
20250626,2025-06-26,2025,6,June,T2,26,Thursday
20250627,2025-06-27,2025,6,June,T2,27,Friday
20250628,2025-06-28,2025,6,June,T2,28,Saturday
20250629,2025-06-29,2025,6,June,T2,29,Sunday
20250630,2025-06-30,2025,6,June,T2,30,Monday
20250701,2025-07-01,2025,7,July,T3,1,Tuesday
20250702,2025-07-02,2025,7,July,T3,2,Wednesday
20250703,2025-07-03,2025,7,July,T3,3,Thursday
20250704,2025-07-04,2025,7,July,T3,4,Friday
20250705,2025-07-05,2025,7,July,T3,5,Saturday
20250706,2025-07-06,2025,7,July,T3,6,Sunday
20250707,2025-07-07,2025,7,July,T3,7,Monday
20250708,2025-07-08,2025,7,July,T3,8,Tuesday
20250709,2025-07-09,2025,7,July,T3,9,Wednesday
20250710,2025-07-10,2025,7,July,T3,10,Thursday
20250711,2025-07-11,2025,7,July,T3,11,Friday
20250712,2025-07-12,2025,7,July,T3,12,Saturday
20250713,2025-07-13,2025,7,July,T3,13,Sunday
20250714,2025-07-14,2025,7,July,T3,14,Monday
20250715,2025-07-15,2025,7,July,T3,15,Tuesday
20250716,2025-07-16,2025,7,July,T3,16,Wednesday
20250717,2025-07-17,2025,7,July,T3,17,Thursday
20250718,2025-07-18,2025,7,July,T3,18,Friday
20250719,2025-07-19,2025,7,July,T3,19,Saturday
20250720,2025-07-20,2025,7,July,T3,20,Sunday
20250721,2025-07-21,2025,7,July,T3,21,Monday
20250722,2025-07-22,2025,7,July,T3,22,Tuesday
20250723,2025-07-23,2025,7,July,T3,23,Wednesday
20250724,2025-07-24,2025,7,July,T3,24,Thursday
20250725,2025-07-25,2025,7,July,T3,25,Friday
20250726,2025-07-26,2025,7,July,T3,26,Saturday
20250727,2025-07-27,2025,7,July,T3,27,Sunday
20250728,2025-07-28,2025,7,July,T3,28,Monday
20250729,2025-07-29,2025,7,July,T3,29,Tuesday
20250730,2025-07-30,2025,7,July,T3,30,Wednesday
20250731,2025-07-31,2025,7,July,T3,31,Thursday
20250801,2025-08-01,2025,8,August,T3,1,Friday
20250802,2025-08-02,2025,8,August,T3,2,Saturday
20250803,2025-08-03,2025,8,August,T3,3,Sunday
20250804,2025-08-04,2025,8,August,T3,4,Monday
20250805,2025-08-05,2025,8,August,T3,5,Tuesday
20250806,2025-08-06,2025,8,August,T3,6,Wednesday
20250807,2025-08-07,2025,8,August,T3,7,Thursday
20250808,2025-08-08,2025,8,August,T3,8,Friday
20250809,2025-08-09,2025,8,August,T3,9,Saturday
20250810,2025-08-10,2025,8,August,T3,10,Sunday
20250811,2025-08-11,2025,8,August,T3,11,Monday
20250812,2025-08-12,2025,8,August,T3,12,Tuesday
20250813,2025-08-13,2025,8,August,T3,13,Wednesday
20250814,2025-08-14,2025,8,August,T3,14,Thursday
20250815,2025-08-15,2025,8,August,T3,15,Friday
20250816,2025-08-16,2025,8,August,T3,16,Saturday
20250817,2025-08-17,2025,8,August,T3,17,Sunday
20250818,2025-08-18,2025,8,August,T3,18,Monday
20250819,2025-08-19,2025,8,August,T3,19,Tuesday
20250820,2025-08-20,2025,8,August,T3,20,Wednesday
20250821,2025-08-21,2025,8,August,T3,21,Thursday
20250822,2025-08-22,2025,8,August,T3,22,Friday
20250823,2025-08-23,2025,8,August,T3,23,Saturday
20250824,2025-08-24,2025,8,August,T3,24,Sunday
20250825,2025-08-25,2025,8,August,T3,25,Monday
20250826,2025-08-26,2025,8,August,T3,26,Tuesday
20250827,2025-08-27,2025,8,August,T3,27,Wednesday
20250828,2025-08-28,2025,8,August,T3,28,Thursday
20250829,2025-08-29,2025,8,August,T3,29,Friday
20250830,2025-08-30,2025,8,August,T3,30,Saturday
20250831,2025-08-31,2025,8,August,T3,31,Sunday
20250901,2025-09-01,2025,9,September,T3,1,Monday
20250902,2025-09-02,2025,9,September,T3,2,Tuesday
20250903,2025-09-03,2025,9,September,T3,3,Wednesday
20250904,2025-09-04,2025,9,September,T3,4,Thursday
20250905,2025-09-05,2025,9,September,T3,5,Friday
20250906,2025-09-06,2025,9,September,T3,6,Saturday
20250907,2025-09-07,2025,9,September,T3,7,Sunday
20250908,2025-09-08,2025,9,September,T3,8,Monday
20250909,2025-09-09,2025,9,September,T3,9,Tuesday
20250910,2025-09-10,2025,9,September,T3,10,Wednesday
20250911,2025-09-11,2025,9,September,T3,11,Thursday
20250912,2025-09-12,2025,9,September,T3,12,Friday
20250913,2025-09-13,2025,9,September,T3,13,Saturday
20250914,2025-09-14,2025,9,September,T3,14,Sunday
20250915,2025-09-15,2025,9,September,T3,15,Monday
20250916,2025-09-16,2025,9,September,T3,16,Tuesday
20250917,2025-09-17,2025,9,September,T3,17,Wednesday
20250918,2025-09-18,2025,9,September,T3,18,Thursday
20250919,2025-09-19,2025,9,September,T3,19,Friday
20250920,2025-09-20,2025,9,September,T3,20,Saturday
20250921,2025-09-21,2025,9,September,T3,21,Sunday
20250922,2025-09-22,2025,9,September,T3,22,Monday
20250923,2025-09-23,2025,9,September,T3,23,Tuesday
20250924,2025-09-24,2025,9,September,T3,24,Wednesday
20250925,2025-09-25,2025,9,September,T3,25,Thursday
20250926,2025-09-26,2025,9,September,T3,26,Friday
20250927,2025-09-27,2025,9,September,T3,27,Saturday
20250928,2025-09-28,2025,9,September,T3,28,Sunday
20250929,2025-09-29,2025,9,September,T3,29,Monday
20250930,2025-09-30,2025,9,September,T3,30,Tuesday
20251001,2025-10-01,2025,10,October,T4,1,Wednesday
20251002,2025-10-02,2025,10,October,T4,2,Thursday
20251003,2025-10-03,2025,10,October,T4,3,Friday
20251004,2025-10-04,2025,10,October,T4,4,Saturday
20251005,2025-10-05,2025,10,October,T4,5,Sunday
20251006,2025-10-06,2025,10,October,T4,6,Monday
20251007,2025-10-07,2025,10,October,T4,7,Tuesday
20251008,2025-10-08,2025,10,October,T4,8,Wednesday
20251009,2025-10-09,2025,10,October,T4,9,Thursday
20251010,2025-10-10,2025,10,October,T4,10,Friday
20251011,2025-10-11,2025,10,October,T4,11,Saturday
20251012,2025-10-12,2025,10,October,T4,12,Sunday
20251013,2025-10-13,2025,10,October,T4,13,Monday
20251014,2025-10-14,2025,10,October,T4,14,Tuesday
20251015,2025-10-15,2025,10,October,T4,15,Wednesday
20251016,2025-10-16,2025,10,October,T4,16,Thursday
20251017,2025-10-17,2025,10,October,T4,17,Friday
20251018,2025-10-18,2025,10,October,T4,18,Saturday
20251019,2025-10-19,2025,10,October,T4,19,Sunday
20251020,2025-10-20,2025,10,October,T4,20,Monday
20251021,2025-10-21,2025,10,October,T4,21,Tuesday
20251022,2025-10-22,2025,10,October,T4,22,Wednesday
20251023,2025-10-23,2025,10,October,T4,23,Thursday
20251024,2025-10-24,2025,10,October,T4,24,Friday
20251025,2025-10-25,2025,10,October,T4,25,Saturday
20251026,2025-10-26,2025,10,October,T4,26,Sunday
20251027,2025-10-27,2025,10,October,T4,27,Monday
20251028,2025-10-28,2025,10,October,T4,28,Tuesday
20251029,2025-10-29,2025,10,October,T4,29,Wednesday
20251030,2025-10-30,2025,10,October,T4,30,Thursday
20251031,2025-10-31,2025,10,October,T4,31,Friday
20251101,2025-11-01,2025,11,November,T4,1,Saturday
20251102,2025-11-02,2025,11,November,T4,2,Sunday
20251103,2025-11-03,2025,11,November,T4,3,Monday
20251104,2025-11-04,2025,11,November,T4,4,Tuesday
20251105,2025-11-05,2025,11,November,T4,5,Wednesday
20251106,2025-11-06,2025,11,November,T4,6,Thursday
20251107,2025-11-07,2025,11,November,T4,7,Friday
20251108,2025-11-08,2025,11,November,T4,8,Saturday
20251109,2025-11-09,2025,11,November,T4,9,Sunday
20251110,2025-11-10,2025,11,November,T4,10,Monday
20251111,2025-11-11,2025,11,November,T4,11,Tuesday
20251112,2025-11-12,2025,11,November,T4,12,Wednesday
20251113,2025-11-13,2025,11,November,T4,13,Thursday
20251114,2025-11-14,2025,11,November,T4,14,Friday
20251115,2025-11-15,2025,11,November,T4,15,Saturday
20251116,2025-11-16,2025,11,November,T4,16,Sunday
20251117,2025-11-17,2025,11,November,T4,17,Monday
20251118,2025-11-18,2025,11,November,T4,18,Tuesday
20251119,2025-11-19,2025,11,November,T4,19,Wednesday
20251120,2025-11-20,2025,11,November,T4,20,Thursday
20251121,2025-11-21,2025,11,November,T4,21,Friday
20251122,2025-11-22,2025,11,November,T4,22,Saturday
20251123,2025-11-23,2025,11,November,T4,23,Sunday
20251124,2025-11-24,2025,11,November,T4,24,Monday
20251125,2025-11-25,2025,11,November,T4,25,Tuesday
20251126,2025-11-26,2025,11,November,T4,26,Wednesday
20251127,2025-11-27,2025,11,November,T4,27,Thursday
20251128,2025-11-28,2025,11,November,T4,28,Friday
20251129,2025-11-29,2025,11,November,T4,29,Saturday
20251130,2025-11-30,2025,11,November,T4,30,Sunday
20251201,2025-12-01,2025,12,December,T4,1,Monday
20251202,2025-12-02,2025,12,December,T4,2,Tuesday
20251203,2025-12-03,2025,12,December,T4,3,Wednesday
20251204,2025-12-04,2025,12,December,T4,4,Thursday
20251205,2025-12-05,2025,12,December,T4,5,Friday
20251206,2025-12-06,2025,12,December,T4,6,Saturday
20251207,2025-12-07,2025,12,December,T4,7,Sunday
20251208,2025-12-08,2025,12,December,T4,8,Monday
20251209,2025-12-09,2025,12,December,T4,9,Tuesday
20251210,2025-12-10,2025,12,December,T4,10,Wednesday
20251211,2025-12-11,2025,12,December,T4,11,Thursday
20251212,2025-12-12,2025,12,December,T4,12,Friday
20251213,2025-12-13,2025,12,December,T4,13,Saturday
20251214,2025-12-14,2025,12,December,T4,14,Sunday
20251215,2025-12-15,2025,12,December,T4,15,Monday
20251216,2025-12-16,2025,12,December,T4,16,Tuesday
20251217,2025-12-17,2025,12,December,T4,17,Wednesday
20251218,2025-12-18,2025,12,December,T4,18,Thursday
20251219,2025-12-19,2025,12,December,T4,19,Friday
20251220,2025-12-20,2025,12,December,T4,20,Saturday
20251221,2025-12-21,2025,12,December,T4,21,Sunday
20251222,2025-12-22,2025,12,December,T4,22,Monday
20251223,2025-12-23,2025,12,December,T4,23,Tuesday
20251224,2025-12-24,2025,12,December,T4,24,Wednesday
20251225,2025-12-25,2025,12,December,T4,25,Thursday
20251226,2025-12-26,2025,12,December,T4,26,Friday
20251227,2025-12-27,2025,12,December,T4,27,Saturday
20251228,2025-12-28,2025,12,December,T4,28,Sunday
20251229,2025-12-29,2025,12,December,T4,29,Monday
20251230,2025-12-30,2025,12,December,T4,30,Tuesday
20251231,2025-12-31,2025,12,December,T4,31,Wednesday
